release1,release2,value
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.8,366.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.1,360.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.2,361.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.3,363.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.4,365.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.0,360.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.9,27.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.10,7.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.30,1.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.11,7.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.18,22.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.16,22.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.30,233.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.24,234.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.23,235.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.22,235.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.28,230.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.27,229.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.26,229.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.25,233.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.86.Final,4.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.51.Final,22.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.81.Final,3.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.104.Final,11.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.5.Final,75.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.111.Final,16.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.106.Final,11.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.31,1.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.96.Final,8.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.20,329.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.109.Final,11.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.21,329.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.43.Final,50.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.6,319.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.91.Final,5.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.17,328.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.7,319.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.18,329.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.8,320.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.15,326.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.9,322.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.9,19.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.29,230.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.8,16.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.19,241.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.18,241.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.2.0.RELEASE,294.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.3,59.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.2,65.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.3,1.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.0,70.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.2,3.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.3.22.RELEASE,488.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.0,3.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.26,122.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.12,71.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.3.9.RELEASE,505.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.11,71.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.25,127.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.24,142.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.9,31.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.23,143.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.99.Final,8.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.89.Final,4.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.79.Final,1.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.108.Final,11.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.92.Final,5.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.16,328.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.82.Final,4.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.2,307.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.85.Final,4.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.13,326.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.84.Final,4.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.3,315.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.94.Final,12.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.14,326.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.101.Final,8.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.11,326.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.17.Final,60.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.4,312.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.12,326.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.5,317.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.10,325.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.10,71.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.31,232.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.4,252.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.9,244.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.8,33.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.9,71.0
